parent_level;parent;child_level;child
2;Seasonal and Overseas Jobs;3;Campsite Jobs
2;Seasonal and Overseas Jobs;3;Caravan Park Jobs
2;Seasonal and Overseas Jobs;3;Cruise Ship Jobs
2;Seasonal and Overseas Jobs;3;Gap Year Jobs
2;Seasonal and Overseas Jobs;3;Holiday Park Jobs
2;Seasonal and Overseas Jobs;3;Summer Season Jobs
2;Seasonal and Overseas Jobs;3;Travel and Tourism Jobs
2;Seasonal and Overseas Jobs;3;Winter Season Jobs
2;Seasonal and Overseas Jobs;3;Other Seasonal Jobs
2;Graduate Jobs and Apprenticeships;3;Apprenticeships
2;Graduate Jobs and Apprenticeships;3;Graduate Jobs
2;Graduate Jobs and Apprenticeships;3;Internships
2;Graduate Jobs and Apprenticeships;3;Jobs overseas
2;Graduate Jobs and Apprenticeships;3;Student Jobs
2;Graduate Jobs and Apprenticeships;3;Trainee Jobs
2;Graduate Jobs and Apprenticeships;3;Work Experince
2;Graduate Jobs and Apprenticeships;3;Other Graduate Jobs & Internships
3;Insurance Jobs;4;Claims Handler Jobs
3;Insurance Jobs;4;Insurance Broker Jobs
3;Insurance Jobs;4;Insurance Underwriter Jobs
3;Aftermarket Jobs;4;Mechanic Jobs
3;Aftermarket Jobs;4;Car Valeting Jobs
3;Aftermarket Jobs;4;MOT Tester Jobs
3;Aftermarket Jobs;4;Tyre Fitter Jobs
3;Aftermarket Jobs;4;Body Shop Jobs
3;Aftermarket Jobs;4;Parts Advisor Jobs
3;Aftermarket Jobs;4;Vehicle Technician Jobs
3;Aftermarket Jobs;4;Breakdown and Vehicle Recovery Jobs
3;Aftermarket Jobs;4;Other Automotive Aftermarket Jobs
3;Driver Jobs;4;HGC Driver Jobs
3;Driver Jobs;4;Courier Jobs
3;Driver Jobs;4;Delivery Driver Jobs
3;Driver Jobs;4;Hiab Driver Jobs
3;Driver Jobs;4;Bus Driver Jobs
3;Driver Jobs;4;Forklift Driver Jobs
3;Driver Jobs;4;Other Driver Jobs
3;Transport and Logistics Jobs;4;Fleet Jobs
3;Transport and Logistics Jobs;4;Logistics Jobs
3;Transport and Logistics Jobs;4;Supply Chain Jobs
3;Transport and Logistics Jobs;4;Other Transport and Logistics Jobs
3;Airport Jobs;4;Airport Security Jobs
3;Airport Jobs;4;Baggage Handler Jobs
3;Airport Jobs;4;Ground Crew Jobs
3;Airport Jobs;4;Other Airport Jobs
3;Food and Beverage Jobs;4;Chef Jobs
3;Food and Beverage Jobs;4;Chef de Partie Jobs
3;Food and Beverage Jobs;4;Sous Chef Jobs
3;Food and Beverage Jobs;4;Commis Chef Jobs
3;Food and Beverage Jobs;4;Kitchen Porter Jobs
3;Food and Beverage Jobs;4;Waiting Staff Jobs
3;Food and Beverage Jobs;4;Restaurant Manager Jobs
