ID;upsell;print area;print edition;print expire
13067956;"Top Ad";"Y";"";""
12958595;"Online highlighted,Print booster";"Y";"D,A,E,AD,G";"2014-12-02 00:00:00"
12964957;"Top Ad,Print booster";"Y";"G,K,F,A,B";"2014-12-09 00:00:00"
13062010;"Top Ad";"N";"";""
13069738;"Urgent,Top Ad,Print booster";"Y";"K,F,G,AD,1U";"2014-12-09 00:00:00"
13046231;"Top Ad,Print booster";"Y";"E,C,A";"2014-12-16 00:00:00"
13051002;"Top Ad,Print booster";"Y";"K";"2014-12-23 00:00:00"
13067246;"Top Ad";"Y";"";""
13066947;"Top Ad,Online highlighted,Print booster";"Y";"K,G,F";"2014-12-02 00:00:00"
13036781;"Top Ad";"N";"";""
12929445;"Urgent";"N";"";""
10118981;"Top Ad";"N";"";""
13068646;"Top Ad";"N";"";""
12510405;"Top Ad";"Y";"";""
13039865;"Top Ad";"N";"";""
13067953;"Urgent,Top Ad,Online highlighted";"Y";"";""
13060646;"Top Ad,Print booster";"Y";"C";"2014-12-09 00:00:00"
12956230;"Top Ad";"N";"";""
12999457;"Top Ad";"Y";"";""
13066743;"Urgent,Top Ad";"N";"";""
13034233;"Top Ad";"Y";"";""
13069356;"Top Ad,Online highlighted,Print booster";"Y";"P,F,AD";"2014-12-09 00:00:00"
13010734;"Top Ad";"N";"";""
13064038;"Flashing,Online highlighted,Print booster";"Y";"G";"2014-12-02 00:00:00"
12954788;"Flashing";"N";"";""
12971410;"Top Ad";"Y";"";""
13063869;"Urgent,Top Ad,Print booster";"Y";"E,C,A,D,AD";"2014-12-02 00:00:00"
13034483;"Top Ad";"Y";"";""
13007113;"Top Ad";"N";"";""
13068189;"Urgent,Top Ad,Online highlighted,Print booster";"Y";"G,K,F";"2014-12-09 00:00:00"
13059132;"Urgent,Top Ad,Flashing,Online highlighted,Print booster";"Y";"F,G,K";"2014-12-02 00:00:00"
13060106;"Top Ad";"Y";"";""
12223630;"Top Ad";"N";"";""
13069842;"Top Ad";"Y";"";""
13058516;"Urgent,Top Ad";"Y";"";""
13062934;"Top Ad,Print booster";"Y";"A,C,D,AD,E";"2014-12-09 00:00:00"
13058651;"Top Ad,Flashing";"Y";"";""
12904574;"Flashing,Online highlighted";"N";"";""
13056546;"Urgent,Top Ad,Flashing,Online highlighted";"N";"";""
13062084;"Top Ad,Print booster";"Y";"K,G,F";"2014-12-16 00:00:00"
13068186;"Top Ad";"N";"";""
13067637;"Top Ad,Flashing";"Y";"";""
12960033;"Flashing";"Y";"";""
13066567;"Urgent";"N";"";""
13056462;"Urgent,Top Ad,Print booster";"Y";"A,C,D,AD,E";"2014-12-09 00:00:00"
11277807;"Online highlighted,Print booster";"Y";"E,C,A,D,B";"2015-01-20 00:00:00"
